Language,Number
JavaScript,361513
Python,149863
Java,144784
HTML,91216
PHP,82110
TypeScript,50698
CSS,50222
Shell,41581
C,36778
Go,30588
C++,28889
Ruby,27194
Jupyter Notebook,26752
Swift,24298
C#,21329
Kotlin,16037
Objective-C,9169
R,8127
Rust,7881
Vue,6330
Scala,5869
Vim script,4840
Dockerfile,4163
MATLAB,3990
Haskell,3880
Elixir,3608
Lua,2955
TeX,2813
Clojure,2385
HCL,2237
Emacs Lisp,2115
Perl,1954
Makefile,1940
Dart,1071
Crystal,808
PowerShell,754
CoffeeScript,575
Groovy,508
Nim,502
Assembly,409
Processing,329
Batchfile,316
Smarty,260
XSLT,244
ASP,205
PLSQL,169
ShaderLab,148
PLpgSQL,146
QML,131
Solidity,122
Erlang,80
Eagle,72
OCaml,60
Logos,53
Puppet,50
Perl 6,41
Objective-C++,34
GLSL,33
Visual Basic,23
QMake,15
F#,14
Elm,12
Nginx,10
UnrealScript,5
DIGITAL Command Language,5
Julia,1
ActionScript,1
